Unnamed: 0,ID,Year,Netflix,Amazon Prime Video
0,1,2019,0,1
1,2,2019,0,1
2,3,2019,0,1
3,4,2019,0,1
4,5,2019,0,1
5,6,2019,0,1
6,7,2020,0,1
7,8,2020,0,1
8,9,2012,0,1
9,10,2019,0,1
10,11,2019,0,1
11,12,2019,0,1
12,13,2020,0,1
13,14,2018,0,1
14,15,2019,0,1
15,16,2019,0,1
16,17,2019,0,1
17,18,2016,0,1
18,19,2020,0,1
19,20,2019,0,1
20,21,2019,0,1
21,22,2018,0,1
22,23,2016,0,1
23,24,2019,0,1
24,25,2018,0,1
25,26,2018,0,1
26,27,2017,0,1
27,28,2018,0,1
28,29,2018,0,1
29,30,2018,0,1
30,31,2019,0,1
31,32,2010,0,1
32,33,2011,0,1
33,34,1967,0,1
34,35,2014,0,1
35,36,2015,0,1
36,37,2006,0,1
37,38,2015,0,1
38,39,2018,0,1
39,40,2014,0,1
40,41,2007,0,1
41,42,2014,0,1
42,43,2012,0,1
43,44,2017,0,1
44,45,2016,0,1
45,46,2018,0,1
46,47,2009,0,1
47,48,2015,0,1
48,49,2013,0,1
49,50,2012,0,1
50,51,2018,0,1
51,52,2018,0,1
52,53,2010,0,1
53,54,1982,0,1
54,55,2012,0,1
55,56,2014,0,1
56,57,2019,0,1
57,58,2012,0,1
58,59,2013,0,1
59,60,2017,0,1
60,61,2016,0,1
61,62,2013,0,1
62,63,2009,0,1
63,64,2008,0,1
64,65,2011,0,1
65,66,2012,0,1
66,67,1997,0,1
67,68,2017,0,1
68,69,1984,0,1
69,70,2013,0,1
70,71,2011,0,1
71,72,2003,0,1
72,73,1933,0,1
73,74,2007,0,1
74,75,2017,0,1
75,76,2013,0,1
76,77,2019,0,1
77,78,2010,0,1
78,79,2014,0,1
79,80,2005,0,1
80,81,2013,0,1
81,82,2013,0,1
82,83,2015,0,1
83,84,2009,0,1
84,85,1974,0,1
85,86,2012,0,1
86,87,2019,0,1
87,88,2012,0,1
88,89,2018,0,1
89,90,2014,0,1
90,91,1971,0,1
91,92,2013,0,1
92,93,2007,0,1
93,94,2019,0,1
94,95,2017,0,1
95,96,2007,0,1
96,97,1977,0,1
97,98,2013,0,1
98,99,2015,0,1
99,100,2014,0,1
100,101,2012,0,1
101,102,2012,0,1
102,103,2020,0,1
103,104,2019,0,1
104,105,2019,0,1
105,106,2015,0,1
106,107,1973,0,1
107,108,2016,0,1
108,109,2012,0,1
109,110,2002,0,1
110,111,2018,0,1
111,112,2005,0,1
112,113,1986,0,1
113,114,2001,0,1
114,115,2017,0,1
115,116,1992,0,1
116,117,2010,0,1
117,118,2015,0,1
118,119,1983,0,1
119,120,2016,0,1
120,121,2004,0,1
121,122,2014,0,1
122,123,2003,0,1
123,124,1987,0,1
124,125,2006,0,1
125,126,1989,0,1
126,127,2015,0,1
127,128,1993,0,1
128,129,2005,0,1
129,130,1985,0,1
130,131,2017,0,1
131,132,1996,0,1
132,133,2014,0,1
133,134,2005,0,1
134,135,2014,0,1
135,136,1993,0,1
136,137,2012,0,1
137,138,2014,0,1
138,139,2005,0,1
139,140,2008,0,1
140,141,2006,0,1
141,142,2013,0,1
142,143,1997,0,1
143,144,1995,0,1
144,145,1989,0,1
145,146,2002,0,1
146,147,2000,0,1
147,148,2012,0,1
148,149,2004,0,1
149,150,1995,0,1
150,151,2015,0,1
151,152,2011,0,1
152,153,2013,0,1
153,154,2009,0,1
154,155,2015,0,1
155,156,1983,0,1
156,157,1990,0,1
157,158,1995,0,1
158,159,2000,0,1
159,160,1983,0,1
160,161,1992,0,1
161,162,2013,0,1
162,163,2016,0,1
163,164,2006,0,1
164,165,2015,0,1
165,166,2000,0,1
166,167,2003,0,1
167,168,1985,0,1
168,169,1961,0,1
169,170,1991,0,1
170,171,2011,0,1
171,172,2015,0,1
172,173,2008,0,1
173,174,2015,0,1
174,175,2004,0,1
175,176,2016,0,1
176,177,2018,0,1
177,178,2001,0,1
178,179,2002,0,1
179,180,2020,0,1
180,181,1997,0,1
181,182,1950,0,1
182,183,2006,0,1
183,184,1955,0,1
184,185,2014,0,1
185,186,2017,0,1
186,187,2004,0,1
187,188,1974,0,1
188,189,1946,0,1
189,190,2000,0,1
190,191,2019,0,1
191,192,2013,0,1
192,193,2007,0,1
193,194,1971,0,1
194,195,1952,0,1
195,196,2020,0,1
196,197,2006,0,1
197,198,2018,0,1
198,199,2017,0,1
199,200,2019,0,1
200,201,2003,0,1
201,202,2019,0,1
202,203,2019,0,1
203,204,1998,0,1
204,205,2018,0,1
205,206,2009,0,1
206,207,2019,0,1
207,208,2014,0,1
208,209,2014,0,1
209,210,2006,0,1
210,211,2008,0,1
211,212,2014,0,1
212,213,2017,0,1
213,214,2012,0,1
214,215,2014,0,1
215,216,2015,0,1
216,217,2013,0,1
217,218,2019,0,1
218,219,2009,0,1
219,220,2014,0,1
220,221,2016,0,1
221,222,2017,0,1
222,223,2006,0,1
223,224,2013,0,1
224,225,2010,0,1
225,226,2005,0,1
226,227,2007,0,1
227,228,2019,0,1
228,229,2014,0,1
229,230,2017,0,1
230,231,2010,0,1
231,232,2017,0,1
232,233,2015,0,1
233,234,2013,0,1
234,235,2011,0,1
235,236,2018,0,1
236,237,2018,0,1
237,238,2015,0,1
238,239,2014,0,1
239,240,2015,0,1
240,241,2008,0,1
241,242,2020,0,1
242,243,2015,0,1
243,244,2017,0,1
244,245,2013,0,1
245,246,2018,0,1
246,247,2015,0,1
247,248,2012,0,1
248,249,2017,0,1
249,250,1997,0,1
250,251,2002,0,1
251,252,2013,0,1
252,253,2015,0,1
253,254,2005,0,1
254,255,2003,0,1
255,256,2020,0,1
256,257,2017,0,1
257,258,1996,0,1
258,259,2017,0,1
259,260,2017,0,1
260,261,2005,0,1
261,262,2016,0,1
262,263,2015,0,1
263,264,2016,0,1
264,265,2014,0,1
265,266,2014,0,1
266,267,2001,0,1
267,268,2013,0,1
268,269,1993,0,1
269,270,2012,0,1
270,271,1983,0,1
271,272,2004,0,1
272,273,2012,0,1
273,274,2016,0,1
274,275,1987,0,1
275,276,2017,0,1
276,277,2012,0,1
277,278,2006,0,1
278,279,2016,0,1
279,280,2013,0,1
280,281,2005,0,1
281,282,2018,0,1
282,283,1997,0,1
283,284,2015,0,1
284,285,2013,0,1
285,286,2019,0,1
286,287,2018,0,1
287,288,2010,0,1
288,289,2016,0,1
289,290,2010,0,1
290,291,2011,0,1
291,292,2015,0,1
292,293,2013,0,1
293,294,2010,0,1
294,295,2013,0,1
295,296,2015,0,1
296,297,2005,0,1
297,298,1998,0,1
298,299,1960,0,1
299,300,2013,0,1
300,301,2017,0,1
301,302,1956,0,1
302,303,2017,0,1
303,304,2016,0,1
304,305,2015,0,1
305,306,2013,0,1
306,307,2019,0,1
307,308,2013,0,1
308,309,1972,0,1
309,310,2013,0,1
310,311,2012,0,1
311,312,2014,0,1
312,313,2014,0,1
313,314,2003,0,1
314,315,2019,0,1
315,316,2016,0,1
316,317,2016,0,1
317,318,2007,0,1
318,319,1974,0,1
319,320,1996,0,1
320,321,2015,0,1
321,322,1962,0,1
322,323,2011,0,1
323,324,2010,0,1
324,325,1970,0,1
325,326,2007,0,1
326,327,1951,0,1
327,328,1988,0,1
328,329,2012,0,1
329,330,1995,0,1
330,331,2015,0,1
331,332,2013,0,1
332,333,2003,0,1
333,334,2014,0,1
334,335,2015,0,1
335,336,1995,0,1
336,337,2006,0,1
337,338,2019,0,1
338,339,1960,0,1
339,340,2015,0,1
340,341,1978,0,1
341,342,1963,0,1
342,343,2007,0,1
343,344,2018,0,1
344,345,1975,0,1
345,346,1977,0,1
346,347,1979,0,1
347,348,2015,0,1
348,349,2013,0,1
349,350,2017,0,1
350,351,1964,0,1
351,352,1995,0,1
352,353,1955,0,1
353,354,1957,0,1
354,355,2008,0,1
355,356,2018,0,1
356,357,1994,0,1
357,358,1996,0,1
358,359,2017,0,1
359,360,2016,0,1
360,361,1996,0,1
361,362,2008,0,1
362,363,2016,0,1
363,364,1990,0,1
364,365,1962,0,1
365,366,1967,0,1
366,367,1983,0,1
367,368,2015,0,1
368,369,1985,0,1
369,370,1971,0,1
370,371,2017,0,1
371,372,2008,0,1
372,373,1987,0,1
373,374,1967,0,1
374,375,2019,0,1
375,376,2007,0,1
376,377,2013,0,1
377,378,1935,0,1
378,379,1982,0,1
379,380,1961,0,1
380,381,2016,0,1
381,382,2010,0,1
382,383,1979,0,1
383,384,2017,0,1
384,385,2015,0,1
385,386,2018,0,1
386,387,2005,0,1
387,388,2011,0,1
388,389,2006,0,1
389,390,2015,0,1
390,391,2014,0,1
391,392,2013,0,1
392,393,2013,0,1
393,394,1973,0,1
394,395,2015,0,1
395,396,2005,0,1
396,397,2010,0,1
397,398,2018,0,1
398,399,2019,0,1
399,400,2019,0,1
400,401,2014,0,1
401,402,2019,0,1
402,403,2020,0,1
403,404,2015,0,1
404,405,2001,0,1
405,406,2018,0,1
406,407,2016,0,1
407,408,2012,0,1
408,409,2012,0,1
409,410,2016,0,1
410,411,1992,0,1
411,412,2020,0,1
412,413,2017,0,1
413,414,2020,0,1
414,415,2018,0,1
415,416,2019,0,1
416,417,2019,0,1
417,418,2002,0,1
418,419,2016,0,1
419,420,2010,0,1
420,421,1994,0,1
421,422,2016,0,1
422,423,2012,0,1
423,424,2013,0,1
424,425,2015,0,1
425,426,1988,0,1
426,427,2015,0,1
427,428,2020,0,1
428,429,2013,0,1
429,430,2017,0,1
430,431,2018,0,1
431,432,2013,0,1
432,433,2013,0,1
433,434,1958,0,1
434,435,1977,0,1
435,436,2013,0,1
436,437,2010,0,1
437,438,2000,0,1
438,439,2007,0,1
439,440,2016,0,1
440,441,1947,0,1
441,442,2006,0,1
442,443,2014,0,1
443,444,2015,0,1
444,445,2012,0,1
445,446,2012,0,1
446,447,2009,0,1
447,448,2006,0,1
448,449,2017,0,1
449,450,2005,0,1
450,451,1967,0,1
451,452,2014,0,1
452,453,2014,0,1
453,454,2006,0,1
454,455,1961,0,1
455,456,2010,0,1
456,457,2002,0,1
457,458,2011,0,1
458,459,2014,0,1
459,460,2014,0,1
460,461,1980,0,1
461,462,2014,0,1
462,463,1976,0,1
463,464,2020,0,1
464,465,2006,0,1
465,466,2014,0,1
466,467,2016,0,1
467,468,2018,0,1
468,469,2018,0,1
469,470,2010,0,1
470,471,1975,0,1
471,472,2018,0,1
472,473,2007,0,1
473,474,2017,0,1
474,475,2007,0,1
475,476,2001,0,1
476,477,1995,0,1
477,478,2017,0,1
478,479,2019,0,1
479,480,2010,0,1
480,481,2015,0,1
481,482,2011,0,1
482,483,2017,0,1
483,484,1931,0,1
484,485,2015,0,1
485,486,1999,0,1
486,487,2005,0,1
487,488,2010,0,1
488,489,2007,0,1
489,490,2013,0,1
490,491,1943,0,1
491,492,1961,0,1
492,493,2010,0,1
493,494,2020,0,1
494,495,1981,0,1
495,496,1982,0,1
496,497,1941,0,1
497,498,2015,0,1
498,499,1941,0,1
499,500,2019,0,1
500,501,1979,0,1
501,502,1963,0,1
502,503,1974,0,1
503,504,1956,0,1
504,505,2019,0,1
505,506,2007,0,1
506,507,2004,0,1
507,508,2018,0,1
508,509,1938,0,1
509,510,1942,0,1
510,511,2014,0,1
511,512,2018,0,1
512,513,1937,0,1
513,514,2000,0,1
514,515,2019,0,1
515,516,2007,0,1
516,517,1934,0,1
517,518,2013,0,1
518,519,2005,0,1
519,520,2015,0,1
520,521,2017,0,1
521,522,1934,0,1
522,523,2015,0,1
523,524,1965,0,1
524,525,2004,0,1
525,526,1991,0,1
526,527,2015,0,1
527,528,2018,0,1
528,529,2011,0,1
529,530,2002,0,1
530,531,2016,0,1
531,532,2005,0,1
532,533,2012,0,1
533,534,2015,0,1
534,535,2018,0,1
535,536,2017,0,1
536,537,2006,0,1
537,538,2018,0,1
538,539,2006,0,1
539,540,2000,0,1
540,541,2020,0,1
541,542,1972,0,1
542,543,2014,0,1
543,544,2009,0,1
544,545,2018,0,1
545,546,1983,0,1
546,547,2010,0,1
547,548,1998,0,1
548,549,2019,0,1
549,550,2017,0,1
550,551,2012,0,1
551,552,1965,0,1
552,553,2016,0,1
553,554,1998,0,1
554,555,2005,0,1
555,556,2013,0,1
556,557,2010,0,1
557,558,2016,0,1
558,559,1990,0,1
559,560,2017,0,1
560,561,2020,0,1
561,562,2017,0,1
562,563,2017,0,1
563,564,2018,0,1
564,565,2001,0,1
565,566,1992,0,1
566,567,2013,0,1
567,568,2013,0,1
568,569,2019,0,1
569,570,1999,0,1
570,571,1958,0,1
571,572,2019,0,1
572,573,1972,0,1
573,574,1971,0,1
574,575,2019,0,1
575,576,2011,0,1
576,577,2013,0,1
577,578,2012,0,1
578,579,2017,0,1
579,580,2013,0,1
580,581,2016,0,1
581,582,2018,0,1
582,583,2017,0,1
583,584,2012,0,1
584,585,2019,0,1
585,586,2019,0,1
586,587,2008,0,1
587,588,2011,0,1
588,589,2017,0,1
589,590,2013,0,1
590,591,2018,0,1
591,592,2011,0,1
592,593,2006,0,1
593,594,2019,0,1
594,595,2018,0,1
595,596,2019,0,1
596,597,2017,0,1
597,598,2019,0,1
598,599,2006,0,1
599,600,2021,0,1
600,601,2015,0,1
601,602,2016,0,1
602,603,2018,0,1
603,604,2006,0,1
604,605,2018,0,1
605,606,2010,0,1
606,607,2014,0,1
607,608,2012,0,1
608,609,2003,0,1
609,610,2017,0,1
610,611,2017,0,1
611,612,2018,0,1
612,613,2018,0,1
613,614,2015,0,1
614,615,1982,0,1
615,616,1984,0,1
616,617,1972,0,1
617,618,1999,0,1
618,619,2010,0,1
619,620,2017,0,1
620,621,2009,0,1
621,622,2016,0,1
622,623,2016,0,1
623,624,1994,0,1
624,625,2013,0,1
625,626,1989,0,1
626,627,2012,0,1
627,628,2020,0,1
628,629,2015,0,1
629,630,2016,0,1
630,631,1998,0,1
631,632,2015,0,1
632,633,2011,0,1
633,634,2012,0,1
634,635,1939,0,1
635,636,2017,0,1
636,637,2016,0,1
637,638,2012,0,1
638,639,2012,0,1
639,640,2008,0,1
640,641,2003,0,1
641,642,2010,0,1
642,643,2019,0,1
643,644,2015,0,1
644,645,2014,0,1
645,646,2013,0,1
646,647,1967,0,1
647,648,2019,0,1
648,649,2017,0,1
649,650,2011,0,1
650,651,2002,0,1
651,652,2007,0,1
652,653,2019,0,1
653,654,2019,0,1
654,655,2008,0,1
655,656,2006,0,1
656,657,2004,0,1
657,658,2013,0,1
658,659,1985,0,1
659,660,2016,0,1
660,661,2013,0,1
661,662,2002,0,1
662,663,2014,0,1
663,664,2013,0,1
664,665,2000,0,1
665,666,2006,0,1
666,667,2015,0,1
667,668,2014,0,1
668,669,2018,0,1
669,670,2016,0,1
670,671,2017,0,1
671,672,2011,0,1
672,673,2017,0,1
673,674,2013,0,1
674,675,2010,0,1
675,676,2010,0,1
676,677,2012,0,1
677,678,2012,0,1
678,679,2012,0,1
679,680,2007,0,1
680,681,2010,0,1
681,682,2002,0,1
682,683,1970,0,1
683,684,2017,0,1
684,685,2009,0,1
685,686,2014,0,1
686,687,2016,0,1
687,688,2010,0,1
688,689,2013,0,1
689,690,2005,0,1
690,691,2005,0,1
691,692,2013,0,1
692,693,2010,0,1
693,694,2008,0,1
694,695,2018,0,1
695,696,2012,0,1
696,697,1985,0,1
697,698,2013,0,1
698,699,2017,0,1
699,700,1981,0,1
700,701,2002,0,1
701,702,2015,0,1
702,703,2011,0,1
703,704,2000,0,1
704,705,1940,0,1
705,706,1991,0,1
706,707,2017,0,1
707,708,2015,0,1
708,709,2013,0,1
709,710,2017,0,1
710,711,2013,0,1
711,712,2014,0,1
712,713,1998,0,1
713,714,1998,0,1
714,715,2008,0,1
715,716,2014,0,1
716,717,2014,0,1
717,718,2008,0,1
718,719,2009,0,1
719,720,1963,0,1
720,721,1995,0,1
721,722,2016,0,1
722,723,2015,0,1
723,724,2018,0,1
724,725,2011,0,1
725,726,2009,0,1
726,727,1999,0,1
727,728,2010,0,1
728,729,1945,0,1
729,730,2010,0,1
730,731,2017,0,1
731,732,1972,0,1
732,733,2007,0,1
733,734,1998,0,1
734,735,1930,0,1
735,736,2006,0,1
736,737,2007,0,1
737,738,1998,0,1
738,739,1937,0,1
739,740,2011,0,1
740,741,2017,0,1
741,742,2001,0,1
742,743,2016,0,1
743,744,1968,0,1
744,745,2014,0,1
745,746,2011,0,1
746,747,1946,0,1
747,748,1996,0,1
748,749,1964,0,1
749,750,2016,0,1
750,751,1992,0,1
751,752,2019,0,1
752,753,2006,0,1
753,754,2010,0,1
754,755,1947,0,1
755,756,2012,0,1
756,757,2001,0,1
757,758,1999,0,1
758,759,2012,0,1
759,760,1974,0,1
760,761,2019,0,1
761,762,1998,0,1
762,763,2009,0,1
763,764,1942,0,1
764,765,2010,0,1
765,766,1937,0,1
766,767,2002,0,1
767,768,1996,0,1
768,769,1998,0,1
769,770,2018,0,1
770,771,1992,0,1
771,772,2013,0,1
772,773,2007,0,1
773,774,2014,0,1
774,775,2013,0,1
775,776,2007,0,1
776,777,2020,0,1
777,778,2018,0,1
778,779,2018,0,1
779,780,2010,0,1
780,781,1965,0,1
781,782,2016,0,1
782,783,2014,0,1
783,784,2012,0,1
784,785,2009,0,1
785,786,2011,0,1
786,787,2014,0,1
787,788,2010,0,1
788,789,2007,0,1
789,790,2010,0,1
790,791,2013,0,1
791,792,2017,0,1
792,793,2009,0,1
793,794,2018,0,1
794,795,2010,0,1
795,796,2016,0,1
796,797,2017,0,1
797,798,2007,0,1
798,799,2009,0,1
799,800,2012,0,1
800,801,2017,0,1
801,802,2012,0,1
802,803,2012,0,1
803,804,2012,0,1
804,805,1996,0,1
805,806,2016,0,1
806,807,2012,0,1
807,808,2016,0,1
808,809,2015,0,1
809,810,2012,0,1
810,811,2009,0,1
811,812,2014,0,1
812,813,2017,0,1
813,814,2010,0,1
814,815,2017,0,1
815,816,2013,0,1
816,817,2014,0,1
817,818,2018,0,1
818,819,2013,0,1
819,820,2015,0,1
820,821,2007,0,1
821,822,2019,0,1
822,823,2002,0,1
823,824,1995,0,1
824,825,2014,0,1
825,826,2017,0,1
826,827,2013,0,1
827,828,2019,0,1
828,829,2014,0,1
829,830,2001,0,1
830,831,2012,0,1
831,832,2010,0,1
832,833,1996,0,1
833,834,1993,0,1
834,835,2005,0,1
835,836,2013,0,1
836,837,2005,0,1
837,838,2014,0,1
838,839,2016,0,1
839,840,2018,0,1
840,841,2009,0,1
841,842,2008,0,1
842,843,2017,0,1
843,844,2007,0,1
844,845,2010,0,1
845,846,2012,0,1
846,847,1937,0,1
847,848,2013,0,1
848,849,2017,0,1
849,850,2017,0,1
850,851,2016,0,1
851,852,1995,0,1
852,853,1960,0,1
853,854,2002,0,1
854,855,2000,0,1
855,856,1940,0,1
856,857,2010,0,1
857,858,2015,0,1
858,859,2009,0,1
859,860,2013,0,1
860,861,2017,0,1
861,862,2018,0,1
862,863,2008,0,1
863,864,2008,0,1
864,865,1992,0,1
865,866,2013,0,1
866,867,2014,0,1
867,868,1985,0,1
868,869,2002,0,1
869,870,2011,0,1
870,871,2009,0,1
871,872,2010,0,1
872,873,1976,0,1
873,874,2010,0,1
874,875,1999,0,1
875,876,2002,0,1
876,877,1986,0,1
877,878,2007,0,1
878,879,2016,0,1
879,880,2014,0,1
880,881,1964,0,1
881,882,2012,0,1
882,883,1932,0,1
883,884,2006,0,1
884,885,1965,0,1
885,886,1992,0,1
886,887,2007,0,1
887,888,2014,0,1
888,889,2010,0,1
889,890,2011,0,1
890,891,2014,0,1
891,892,2012,0,1
892,893,2015,0,1
893,894,2013,0,1
894,895,1962,0,1
895,896,1952,0,1
896,897,2008,0,1
897,898,1999,0,1
898,899,1986,0,1
899,900,2017,0,1
900,901,2015,0,1
901,902,2014,0,1
902,903,1999,0,1
903,904,2014,0,1
904,905,2014,0,1
905,906,2017,0,1
906,907,2017,0,1
907,908,1998,0,1
908,909,1997,0,1
909,910,2009,0,1
910,911,2015,0,1
911,912,1963,0,1
912,913,2015,0,1
913,914,2011,0,1
914,915,2003,0,1
915,916,1989,0,1
916,917,2017,0,1
917,918,2017,0,1
918,919,2018,0,1
919,920,1966,0,1
920,921,2011,0,1
921,922,1995,0,1
922,923,2013,0,1
923,924,1973,0,1
924,925,1977,0,1
925,926,1991,0,1
926,927,2012,0,1
927,928,2011,0,1
928,929,2019,0,1
929,930,1986,0,1
930,931,2005,0,1
931,932,2015,0,1
932,933,1974,0,1
933,934,1959,0,1
934,935,2016,0,1
935,936,2017,0,1
936,937,2009,0,1
937,938,2011,0,1
938,939,2014,0,1
939,940,2012,0,1
940,941,1966,0,1
941,942,2008,0,1
942,943,2019,0,1
943,944,2005,0,1
944,945,2009,0,1
945,946,2007,0,1
946,947,1960,0,1
947,948,2016,0,1
948,949,1963,0,1
949,950,2014,0,1
950,951,2010,0,1
951,952,2016,0,1
952,953,2010,0,1
953,954,2009,0,1
954,955,2010,0,1
955,956,1979,0,1
956,957,2014,0,1
957,958,2015,0,1
958,959,1962,0,1
959,960,1986,0,1
960,961,2016,0,1
961,962,1976,0,1
962,963,2007,0,1
963,964,2018,0,1
964,965,2018,0,1
965,966,2011,0,1
966,967,2012,0,1
967,968,2020,0,1
968,969,2010,0,1
969,970,2009,0,1
970,971,2018,0,1
971,972,2015,0,1
972,973,2018,0,1
973,974,2018,0,1
974,975,2016,0,1
975,976,2016,0,1
976,977,2017,0,1
977,978,2005,0,1
978,979,2014,0,1
979,980,2015,0,1
980,981,2007,0,1
981,982,1977,0,1
982,983,2019,0,1
983,984,2015,0,1
984,985,2007,0,1
985,986,2016,0,1
986,987,2016,0,1
987,988,2018,0,1
988,989,2020,0,1
989,990,2012,0,1
990,991,2011,0,1
991,992,2014,0,1
992,993,2019,0,1
993,994,2012,0,1
994,995,2009,0,1
995,996,2013,0,1
996,997,1992,0,1
997,998,2002,0,1
998,999,2019,0,1
999,1000,1973,0,1
1000,1001,2019,0,1
1001,1002,2012,0,1
1002,1003,2015,0,1
1003,1004,2007,0,1
1004,1005,2017,0,1
1005,1006,2015,0,1
1006,1007,2019,0,1
1007,1008,2014,0,1
1008,1009,2010,0,1
1009,1010,2018,0,1
1010,1011,1963,0,1
1011,1012,2005,0,1
1012,1013,2017,0,1
1013,1014,2011,0,1
1014,1015,2009,0,1
1015,1016,2015,0,1
1016,1017,1981,0,1
1017,1018,2012,0,1
1018,1019,2006,0,1
1019,1020,2005,0,1
1020,1021,1995,0,1
1021,1022,2013,0,1
1022,1023,2009,0,1
1023,1024,2012,0,1
1024,1025,2015,0,1
1025,1026,1974,0,1
1026,1027,2015,0,1
1027,1028,2002,0,1
1028,1029,2005,0,1
1029,1030,2017,0,1
1030,1031,2017,0,1
1031,1032,1980,0,1
1032,1033,1960,0,1
1033,1034,1979,0,1
1034,1035,1990,0,1
1035,1036,2020,0,1
1036,1037,2012,0,1
1037,1038,2011,0,1
1038,1039,2008,0,1
1039,1040,2015,0,1
1040,1041,1971,0,1
1041,1042,2017,0,1
1042,1043,2016,0,1
1043,1044,1998,0,1
1044,1045,2018,0,1
1045,1046,2005,0,1
1046,1047,2013,0,1
1047,1048,2000,0,1
1048,1049,2016,0,1
1049,1050,2007,0,1
1050,1051,2013,0,1
1051,1052,2018,0,1
1052,1053,1973,0,1
1053,1054,1952,0,1
1054,1055,1997,0,1
1055,1056,2000,0,1
1056,1057,2019,0,1
1057,1058,2017,0,1
1058,1059,2011,0,1
1059,1060,2016,0,1
1060,1061,2015,0,1
1061,1062,2010,0,1
1062,1063,2010,0,1
1063,1064,2018,0,1
1064,1065,1949,0,1
1065,1066,2020,0,1
1066,1067,2005,0,1
1067,1068,1923,0,1
1068,1069,1954,0,1
1069,1070,2016,0,1
1070,1071,1975,0,1
1071,1072,1962,0,1
1072,1073,1991,0,1
1073,1074,2013,0,1
1074,1075,2002,0,1
1075,1076,2000,0,1
1076,1077,2010,0,1
1077,1078,2011,0,1
1078,1079,1955,0,1
1079,1080,1996,0,1
1080,1081,2010,0,1
1081,1082,2016,0,1
1082,1083,2018,0,1
1083,1084,1999,0,1
