lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2
-5.51,132.18,73,4.6,Aru Islands Region - Indonesia,,,,,,
-5.23,133.91,11,4.6,Aru Islands Region - Indonesia,,,,,,
-6.09,133.73,33,4.8,Aru Islands Region - Indonesia,,,,,,
-5.18,132.42,60,4.7,Aru Islands Region - Indonesia,,,,,,
-8.48,115.25,60,2.8,Bali Region - Indonesia,,,,,,
-8.81,115.55,88,3.1,Bali Region - Indonesia,,,,,,
-8.53,115.40,66,2.4,Bali Region - Indonesia,,,,,,
-8.54,115.01,10,3.2,Bali Region - Indonesia,,,,,,
-8.69,115.39,88,2.2,Bali Region - Indonesia,,,,,,
1.87,128.38,133,3.2,Halmahera - Indonesia,,,,,,
1.69,128.44,15,4.4,Halmahera - Indonesia,,,,,,
-0.87,127.69,10,3.0,Halmahera - Indonesia,,,,,,
-4.35,138.55,159,4.2,Irian Jaya - Indonesia,,,,,,
-3.10,139.36,28,5.3,Irian Jaya - Indonesia,,,,,,
-3.89,140.34,10,4.4,Irian Jaya - Indonesia,,,,,,
-3.94,139.66,19,5.3,Irian Jaya - Indonesia,,,,,,
-4.03,139.75,21,5.0,Irian Jaya - Indonesia,,,,,,
-3.90,138.79,12,5.0,Irian Jaya - Indonesia,,,,,,
-3.04,139.27,131,3.5,Irian Jaya - Indonesia,,,,,,
-3.41,139.98,12,3.8,Irian Jaya - Indonesia,,,,,,
-3.34,140.67,10,4.0,Irian Jaya - Indonesia,,,,,,
-3.66,140.27,59,5.3,Irian Jaya - Indonesia,,,,,,
-3.17,140.03,10,3.3,Irian Jaya - Indonesia,,,,,,
-3.65,140.73,10,3.9,Irian Jaya - Indonesia,,,,,,
-3.56,139.14,15,2.8,Irian Jaya - Indonesia,,,,,,
-3.37,140.29,20,4.0,Irian Jaya - Indonesia,,,,,,
-3.28,138.51,90,4.4,Irian Jaya - Indonesia,,,,,,
-3.08,139.77,87,4.6,Irian Jaya - Indonesia,,,,,,
-2.33,138.69,57,2.5,Irian Jaya - Indonesia,,,,,,
-3.37,137.69,51,3.5,Irian Jaya - Indonesia,,,,,,
-3.50,140.14,10,4.7,Irian Jaya - Indonesia,,,,,,
-3.43,140.26,19,4.3,Irian Jaya - Indonesia,,,,,,
-3.32,140.14,15,3.1,Irian Jaya - Indonesia,,,,,,
-3.34,140.15,21,4.7,Irian Jaya - Indonesia,,,,,,
-2.51,138.79,15,4.5,Irian Jaya - Indonesia,,,,,,
-4.27,140.46,10,3.2,Irian Jaya - Indonesia,,,,,,
-3.65,137.70,20,5.2,Irian Jaya - Indonesia,,,,,,
-3.44,140.32,15,3.7,Irian Jaya - Indonesia,,,,,,
-3.18,140.06,60,4.6,Irian Jaya - Indonesia,,,,,,
-3.49,139.95,16,3.0,Irian Jaya - Indonesia,,,,,,
-3.98,140.31,12,3.8,Irian Jaya - Indonesia,,,,,,
-3.25,138.45,75,3.2,Irian Jaya - Indonesia,,,,,,
-3.42,139.94,30,3.6,Irian Jaya - Indonesia,,,,,,
-3.02,139.79,22,4.7,Irian Jaya - Indonesia,,,,,,
-3.25,139.67,78,3.1,Irian Jaya - Indonesia,,,,,,
-3.74,138.49,11,4.3,Irian Jaya - Indonesia,,,,,,
-2.61,138.94,40,4.5,Irian Jaya - Indonesia,,,,,,
-3.98,139.10,29,4.6,Irian Jaya - Indonesia,,,,,,
-3.55,137.65,52,4.9,Irian Jaya - Indonesia,,,,,,
-3.02,139.87,35,3.7,Irian Jaya - Indonesia,,,,,,
-3.09,138.55,93,3.9,Irian Jaya - Indonesia,,,,,,
-3.98,139.68,85,5.0,Irian Jaya - Indonesia,,,,,,
-3.48,140.46,10,3.7,Irian Jaya - Indonesia,,,,,,
-3.44,140.28,28,3.3,Irian Jaya - Indonesia,,,,,,
